"DateOfArrivalAtBIP","BorderInspectionPost","EntryBIPCountry","ConsigneeCountry","ImporterCountry","CountryofOrigin","CommodityGroup","CommodityCode","Species","Temperature","TranshipmentBIPCountry","TranshipmentBIP","TranshipmentTo3rdCountry","To3rdCountry","TransitExitBIP","ForReImport","ForInternalMarket","DateofDeclaration","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DocumentaryCheck","IdentityCheck","TotalGrossWeightKg","PhysicalCheck","LaboratoryTestsPerformed","LaboratoryTestsMotivation","LaboratoryTestConclusion","LaboratoryTestTranslation","AcceptableforInternal Market","Notacceptable","RefusalReasonCodeList","DateofDecision","YearofDecision","QuarterofDecision","MonthofDecision","DayofDecision","TotalNetWeightkg"
"03/04/2019","London Gateway","United Kingdom","United Kingdom","United Kingdom","Mexico","Animal feed","230910","Ungulates","Ambient","-","/","-","-","-","No","Animal Feedingstuff","29/03/2019","2019","Q1","3","29","Satisfactory","Satisfactory","6656","Not Done","No","-","-","-","Animal Feedingstuff","-","-","04/04/2019","2019","Q2","April","4","5170"
"03/04/2019","London Gateway","United Kingdom","United Kingdom","United Kingdom","Mexico","Animal feed","230910","Ungulates","Ambient","-","/","-","-","-","No","Animal Feedingstuff","29/03/2019","2019","Q1","3","29","Satisfactory","Satisfactory","6656","Satisfactory","No","-","-","-","Animal Feedingstuff","-","-","09/04/2019","2019","Q2","April","9","5170"
"11/03/2019","Manchester","United Kingdom","United Kingdom","United Kingdom","United States","Semen","05111000","Bos Taurus","-","-","/","-","-","-","No","Other","08/03/2019","2019","Q1","3","8","Satisfactory","Satisfactory","327","Not Done","No","-","-","-","Other","-","-","18/03/2019","2019","Q1","March","18","8"
"05/03/2019","Manchester","United Kingdom","United Kingdom","United Kingdom","United States","Semen","05111000","Bos Taurus","-","-","/","-","-","-","No","Other","01/03/2019","2019","Q1","3","1","Satisfactory","Satisfactory","408","Not Done","No","-","-","-","Other","-","-","05/03/2019","2019","Q1","March","5","10"
"18/03/2019","Manchester","United Kingdom","United Kingdom","United Kingdom","United States","Semen","05111000","Bos Taurus","-","-","/","-","-","-","No","Other","13/03/2019","2019","Q1","3","13","Satisfactory","Satisfactory","41","Not Done","No","-","-","-","Other","-","-","18/03/2019","2019","Q1","March","18","1"
"20/03/2019","London Gateway","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044250","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","13/03/2019","2019","Q1","3","13","Satisfactory","Satisfactory","22942","Not Done","No","-","-","-","Human Consumption","-","-","21/03/2019","2019","Q1","March","21","22196"
"04/03/2019","Heathrow","United Kingdom","Germany","Germany","New Zealand","Sheep meat","02042230","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","04/03/2019","2019","Q1","3","4","Satisfactory","Satisfactory","2431","Not Done","No","-","-","-","Human Consumption","-","-","04/03/2019","2019","Q1","March","4","2241"
"04/03/2019","Heathrow","United Kingdom","Germany","Germany","New Zealand","Sheep meat","02042300","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","04/03/2019","2019","Q1","3","4","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","04/03/2019","2019","Q1","March","4","0"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044250","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","23859","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","23043"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044250","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","16014","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","15571"
