DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3035990,Pampus Argenteus,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3035990,Pampus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3036619,Merluccius Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Bagarius Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Chitala Chitala,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,25800,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,22717
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Mystus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Wallago Attu,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990,Lutjanus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990,Nemipterus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990,Otolithes Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
