DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-02-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,23788,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-04,2020,Q1,2,4,22287
2020-02-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-04,2020,Q1,2,4,0
2020-02-03,Heathrow,United Kingdom,Germany,Germany,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-02,2020,Q1,2,2,Satisfactory,Satisfactory,2300,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-03,2020,Q1,2,3,2059
2020-02-03,Heathrow,United Kingdom,Germany,Germany,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-02,2020,Q1,2,2,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-03,2020,Q1,2,3,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,22955,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,21397
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,22962,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,21372
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,0
2020-02-15,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044250,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Satisfactory,Satisfactory,14112,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-13,2020,Q1,2,13,13564
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,12020,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,11245
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-16,2020,Q1,2,16,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,22227,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,20835
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,24763,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,23205
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-11,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-17,2020,Q1,2,17,0
2020-02-12,London Gateway,United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044250,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-03,2020,Q1,2,3,Satisfactory,Satisfactory,13807,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-12,2020,Q1,2,12,13348
